sensor_id,t_unix,packet_counter,roll_deg,pitch_deg,yaw_deg
XDA.XsDeviceId,1790006398.946833,5008,-0.682,-0.338,-82.868
XDA.XsDeviceId,1790006398.948304,5008,-0.336,-0.840,-61.183
XDA.XsDeviceId,1790006398.960859,5009,-0.681,-0.335,-82.868
XDA.XsDeviceId,1790006398.960867,5009,-0.334,-0.837,-61.188
XDA.XsDeviceId,1790006398.976858,5010,-0.681,-0.330,-82.862
XDA.XsDeviceId,1790006398.976872,5010,-0.333,-0.835,-61.193
XDA.XsDeviceId,1790006398.993011,5011,-0.683,-0.327,-82.858
XDA.XsDeviceId,1790006398.993035,5011,-0.334,-0.830,-61.200
XDA.XsDeviceId,1790006399.008870,5012,-0.684,-0.331,-82.863
XDA.XsDeviceId,1790006399.008887,5012,-0.332,-0.828,-61.205
XDA.XsDeviceId,1790006399.025103,5013,-0.685,-0.330,-82.863
XDA.XsDeviceId,1790006399.025116,5013,-0.334,-0.825,-61.210
XDA.XsDeviceId,1790006399.040962,5014,-0.682,-0.324,-82.858
XDA.XsDeviceId,1790006399.040972,5014,-0.331,-0.825,-61.215
XDA.XsDeviceId,1790006399.056691,5015,-0.684,-0.320,-82.855
XDA.XsDeviceId,1790006399.056699,5015,-0.331,-0.821,-61.222
XDA.XsDeviceId,1790006399.072661,5016,-0.685,-0.320,-82.855
XDA.XsDeviceId,1790006399.072682,5016,-0.330,-0.819,-61.227
XDA.XsDeviceId,1790006399.088837,5017,-0.684,-0.317,-82.854
XDA.XsDeviceId,1790006399.088846,5017,-0.327,-0.817,-61.234
XDA.XsDeviceId,1790006399.105194,5018,-0.683,-0.315,-82.853
XDA.XsDeviceId,1790006399.105209,5018,-0.325,-0.817,-61.241
XDA.XsDeviceId,1790006399.121117,5019,-0.682,-0.311,-82.849
XDA.XsDeviceId,1790006399.121127,5019,-0.322,-0.816,-61.248
XDA.XsDeviceId,1790006399.133174,5020,-0.680,-0.304,-82.843
XDA.XsDeviceId,1790006399.133193,5020,-0.322,-0.815,-61.253
XDA.XsDeviceId,1790006399.134756,5021,-0.679,-0.304,-82.845
XDA.XsDeviceId,1790006399.134764,5021,-0.319,-0.817,-61.259
XDA.XsDeviceId,1790006399.140076,5022,-0.676,-0.303,-82.845
XDA.XsDeviceId,1790006399.140092,5022,-0.315,-0.817,-61.267
XDA.XsDeviceId,1790006399.149046,5023,-0.677,-0.300,-82.841
XDA.XsDeviceId,1790006399.149068,5023,-0.313,-0.820,-61.272
XDA.XsDeviceId,1790006399.164248,5024,-0.674,-0.300,-82.841
XDA.XsDeviceId,1790006399.164271,5024,-0.308,-0.821,-61.278
XDA.XsDeviceId,1790006399.180540,5025,-0.670,-0.298,-82.837
XDA.XsDeviceId,1790006399.180556,5025,-0.303,-0.824,-61.284
XDA.XsDeviceId,1790006399.181806,5026,-0.668,-0.297,-82.834
XDA.XsDeviceId,1790006399.181816,5026,-0.299,-0.825,-61.288
XDA.XsDeviceId,1790006399.197232,5027,-0.665,-0.295,-82.833
XDA.XsDeviceId,1790006399.197241,5027,-0.295,-0.825,-61.296
XDA.XsDeviceId,1790006399.198712,5028,-0.667,-0.295,-82.831
XDA.XsDeviceId,1790006399.198724,5028,-0.292,-0.828,-61.298
XDA.XsDeviceId,1790006399.214463,5029,-0.662,-0.294,-82.829
XDA.XsDeviceId,1790006399.214475,5029,-0.287,-0.831,-61.306
XDA.XsDeviceId,1790006399.230385,5030,-0.657,-0.296,-82.826
XDA.XsDeviceId,1790006399.230413,5030,-0.280,-0.833,-61.312
XDA.XsDeviceId,1790006399.231917,5031,-0.655,-0.300,-82.831
XDA.XsDeviceId,1790006399.231932,5031,-0.277,-0.835,-61.316
XDA.XsDeviceId,1790006399.247213,5032,-0.649,-0.298,-82.824
XDA.XsDeviceId,1790006399.247222,5032,-0.273,-0.837,-61.322
XDA.XsDeviceId,1790006399.249333,5033,-0.648,-0.298,-82.818
XDA.XsDeviceId,1790006399.249340,5033,-0.268,-0.839,-61.327
XDA.XsDeviceId,1790006399.264256,5034,-0.644,-0.297,-82.811
XDA.XsDeviceId,1790006399.264274,5034,-0.263,-0.839,-61.329
XDA.XsDeviceId,1790006399.280722,5035,-0.642,-0.297,-82.806
XDA.XsDeviceId,1790006399.280740,5035,-0.256,-0.841,-61.335
XDA.XsDeviceId,1790006399.297291,5036,-0.638,-0.299,-82.805
XDA.XsDeviceId,1790006399.297302,5036,-0.253,-0.844,-61.342
XDA.XsDeviceId,1790006399.313916,5037,-0.632,-0.299,-82.805
XDA.XsDeviceId,1790006399.313933,5037,-0.244,-0.849,-61.346
XDA.XsDeviceId,1790006399.330923,5038,-0.629,-0.301,-82.800
XDA.XsDeviceId,1790006399.330983,5038,-0.241,-0.848,-61.349
XDA.XsDeviceId,1790006399.347173,5039,-0.630,-0.302,-82.797
XDA.XsDeviceId,1790006399.347184,5039,-0.233,-0.855,-61.358
XDA.XsDeviceId,1790006399.348840,5040,-0.626,-0.298,-82.785
XDA.XsDeviceId,1790006399.348849,5040,-0.228,-0.858,-61.364
XDA.XsDeviceId,1790006399.363964,5041,-0.625,-0.300,-82.785
XDA.XsDeviceId,1790006399.363977,5041,-0.223,-0.861,-61.372
XDA.XsDeviceId,1790006399.365884,5042,-0.623,-0.299,-82.776
XDA.XsDeviceId,1790006399.365893,5042,-0.219,-0.866,-61.379
XDA.XsDeviceId,1790006399.397190,5043,-0.615,-0.297,-82.768
XDA.XsDeviceId,1790006399.397208,5043,-0.213,-0.869,-61.381
XDA.XsDeviceId,1790006399.414062,5044,-0.611,-0.293,-82.755
XDA.XsDeviceId,1790006399.414090,5044,-0.208,-0.872,-61.384
XDA.XsDeviceId,1790006399.415181,5045,-0.609,-0.296,-82.748
XDA.XsDeviceId,1790006399.415187,5045,-0.204,-0.873,-61.389
XDA.XsDeviceId,1790006399.447331,5046,-0.599,-0.295,-82.740
XDA.XsDeviceId,1790006399.447373,5046,-0.204,-0.873,-61.396
XDA.XsDeviceId,1790006399.448562,5047,-0.599,-0.296,-82.735
XDA.XsDeviceId,1790006399.448566,5047,-0.195,-0.876,-61.400
XDA.XsDeviceId,1790006399.480993,5048,-0.603,-0.301,-82.738
XDA.XsDeviceId,1790006399.481002,5048,-0.195,-0.877,-61.406
XDA.XsDeviceId,1790006399.497520,5049,-0.597,-0.302,-82.733
XDA.XsDeviceId,1790006399.497720,5049,-0.195,-0.878,-61.410
XDA.XsDeviceId,1790006399.514301,5050,-0.592,-0.303,-82.728
XDA.XsDeviceId,1790006399.514312,5050,-0.188,-0.876,-61.407
XDA.XsDeviceId,1790006399.530743,5051,-0.593,-0.303,-82.719
XDA.XsDeviceId,1790006399.530749,5051,-0.183,-0.876,-61.411
XDA.XsDeviceId,1790006399.531820,5052,-0.594,-0.305,-82.720
XDA.XsDeviceId,1790006399.531836,5052,-0.181,-0.878,-61.413
XDA.XsDeviceId,1790006399.548510,5053,-0.591,-0.308,-82.718
XDA.XsDeviceId,1790006399.548520,5053,-0.181,-0.876,-61.416
XDA.XsDeviceId,1790006399.565271,5054,-0.586,-0.310,-82.717
XDA.XsDeviceId,1790006399.565277,5054,-0.175,-0.876,-61.417
XDA.XsDeviceId,1790006399.588826,5055,-0.579,-0.310,-82.712
XDA.XsDeviceId,1790006399.588837,5055,-0.168,-0.881,-61.421
XDA.XsDeviceId,1790006399.599301,5056,-0.575,-0.312,-82.711
XDA.XsDeviceId,1790006399.599306,5056,-0.165,-0.883,-61.431
XDA.XsDeviceId,1790006399.630522,5057,-0.576,-0.315,-82.714
XDA.XsDeviceId,1790006399.630531,5057,-0.158,-0.892,-61.448
XDA.XsDeviceId,1790006399.631911,5058,-0.572,-0.309,-82.698
XDA.XsDeviceId,1790006399.631916,5058,-0.153,-0.895,-61.455
XDA.XsDeviceId,1790006399.649855,5059,-0.572,-0.316,-82.707
XDA.XsDeviceId,1790006399.649859,5059,-0.148,-0.891,-61.452
XDA.XsDeviceId,1790006399.680725,5060,-0.571,-0.318,-82.706
XDA.XsDeviceId,1790006399.680735,5060,-0.141,-0.892,-61.454
XDA.XsDeviceId,1790006399.697399,5061,-0.574,-0.318,-82.703
XDA.XsDeviceId,1790006399.697404,5061,-0.135,-0.895,-61.458
XDA.XsDeviceId,1790006399.698629,5062,-0.566,-0.319,-82.702
XDA.XsDeviceId,1790006399.698637,5062,-0.142,-0.894,-61.469
XDA.XsDeviceId,1790006399.730524,5063,-0.564,-0.320,-82.696
XDA.XsDeviceId,1790006399.730530,5063,-0.137,-0.896,-61.474
XDA.XsDeviceId,1790006399.747179,5064,-0.569,-0.320,-82.691
XDA.XsDeviceId,1790006399.747185,5064,-0.138,-0.893,-61.481
XDA.XsDeviceId,1790006399.749168,5065,-0.572,-0.324,-82.694
XDA.XsDeviceId,1790006399.749171,5065,-0.136,-0.895,-61.489
XDA.XsDeviceId,1790006399.780384,5066,-0.565,-0.329,-82.696
XDA.XsDeviceId,1790006399.780398,5066,-0.133,-0.893,-61.491
XDA.XsDeviceId,1790006399.797282,5067,-0.566,-0.328,-82.691
XDA.XsDeviceId,1790006399.797285,5067,-0.121,-0.894,-61.490
XDA.XsDeviceId,1790006399.798424,5068,-0.564,-0.329,-82.684
XDA.XsDeviceId,1790006399.798427,5068,-0.115,-0.898,-61.497
XDA.XsDeviceId,1790006399.831034,5069,-0.564,-0.334,-82.688
XDA.XsDeviceId,1790006399.831064,5069,-0.120,-0.898,-61.512
XDA.XsDeviceId,1790006399.847701,5070,-0.561,-0.338,-82.691
XDA.XsDeviceId,1790006399.847705,5070,-0.115,-0.905,-61.524
XDA.XsDeviceId,1790006399.850330,5071,-0.552,-0.338,-82.684
XDA.XsDeviceId,1790006399.850333,5071,-0.119,-0.903,-61.529
XDA.XsDeviceId,1790006399.880453,5072,-0.543,-0.340,-82.683
XDA.XsDeviceId,1790006399.880476,5072,-0.111,-0.898,-61.524
XDA.XsDeviceId,1790006399.881647,5073,-0.540,-0.345,-82.687
XDA.XsDeviceId,1790006399.881655,5073,-0.112,-0.902,-61.536
XDA.XsDeviceId,1790006399.898780,5074,-0.553,-0.348,-82.694
XDA.XsDeviceId,1790006399.898784,5074,-0.113,-0.903,-61.545
XDA.XsDeviceId,1790006399.930916,5075,-0.555,-0.351,-82.697
XDA.XsDeviceId,1790006399.930936,5075,-0.106,-0.901,-61.549
XDA.XsDeviceId,1790006399.932144,5076,-0.555,-0.344,-82.685
XDA.XsDeviceId,1790006399.932148,5076,-0.097,-0.915,-61.565
XDA.XsDeviceId,1790006399.951340,5077,-0.542,-0.350,-82.689
XDA.XsDeviceId,1790006399.951348,5077,-0.091,-0.915,-61.569
XDA.XsDeviceId,1790006399.982104,5078,-0.549,-0.350,-82.690
XDA.XsDeviceId,1790006399.982110,5078,-0.101,-0.913,-61.580
XDA.XsDeviceId,1790006399.998187,5079,-0.541,-0.349,-82.682
XDA.XsDeviceId,1790006399.998193,5079,-0.099,-0.907,-61.578
XDA.XsDeviceId,1790006400.014444,5080,-0.543,-0.352,-82.688
XDA.XsDeviceId,1790006400.014453,5080,-0.107,-0.904,-61.590
XDA.XsDeviceId,1790006400.030176,5081,-0.538,-0.348,-82.677
XDA.XsDeviceId,1790006400.030187,5081,-0.100,-0.902,-61.588
XDA.XsDeviceId,1790006400.046252,5082,-0.533,-0.353,-82.681
XDA.XsDeviceId,1790006400.046263,5082,-0.106,-0.897,-61.591
XDA.XsDeviceId,1790006400.062399,5083,-0.534,-0.359,-82.689
XDA.XsDeviceId,1790006400.062521,5083,-0.107,-0.899,-61.604
XDA.XsDeviceId,1790006400.078571,5084,-0.537,-0.353,-82.678
XDA.XsDeviceId,1790006400.078577,5084,-0.096,-0.897,-61.602
XDA.XsDeviceId,1790006400.094620,5085,-0.541,-0.360,-82.683
XDA.XsDeviceId,1790006400.094630,5085,-0.084,-0.900,-61.604
XDA.XsDeviceId,1790006400.110588,5086,-0.528,-0.357,-82.676
XDA.XsDeviceId,1790006400.110594,5086,-0.081,-0.901,-61.609
XDA.XsDeviceId,1790006400.126546,5087,-0.524,-0.364,-82.687
XDA.XsDeviceId,1790006400.126566,5087,-0.076,-0.908,-61.623
XDA.XsDeviceId,1790006400.142606,5088,-0.521,-0.370,-82.693
XDA.XsDeviceId,1790006400.142613,5088,-0.067,-0.915,-61.634
XDA.XsDeviceId,1790006400.158853,5089,-0.525,-0.370,-82.691
XDA.XsDeviceId,1790006400.158861,5089,-0.064,-0.915,-61.637
XDA.XsDeviceId,1790006400.174836,5090,-0.519,-0.371,-82.688
XDA.XsDeviceId,1790006400.174842,5090,-0.059,-0.917,-61.642
XDA.XsDeviceId,1790006400.190714,5091,-0.519,-0.372,-82.686
XDA.XsDeviceId,1790006400.190726,5091,-0.058,-0.922,-61.656
XDA.XsDeviceId,1790006400.206797,5092,-0.512,-0.370,-82.679
XDA.XsDeviceId,1790006400.206804,5092,-0.059,-0.920,-61.659
XDA.XsDeviceId,1790006400.222956,5093,-0.512,-0.375,-82.687
XDA.XsDeviceId,1790006400.239094,5093,-0.060,-0.925,-61.675
XDA.XsDeviceId,1790006400.254870,5094,-0.508,-0.379,-82.691
XDA.XsDeviceId,1790006400.254873,5094,-0.052,-0.927,-61.680
XDA.XsDeviceId,1790006400.270918,5095,-0.511,-0.381,-82.692
XDA.XsDeviceId,1790006400.270924,5095,-0.046,-0.927,-61.681
XDA.XsDeviceId,1790006400.286567,5096,-0.512,-0.391,-82.700
XDA.XsDeviceId,1790006400.286574,5096,-0.046,-0.934,-61.688
XDA.XsDeviceId,1790006400.302807,5097,-0.509,-0.395,-82.710
XDA.XsDeviceId,1790006400.302813,5097,-0.038,-0.934,-61.695
XDA.XsDeviceId,1790006400.319031,5098,-0.516,-0.393,-82.712
XDA.XsDeviceId,1790006400.319036,5098,-0.040,-0.929,-61.697
XDA.XsDeviceId,1790006400.335161,5099,-0.511,-0.397,-82.707
XDA.XsDeviceId,1790006400.335169,5099,-0.035,-0.935,-61.698
XDA.XsDeviceId,1790006400.350826,5100,-0.503,-0.398,-82.710
XDA.XsDeviceId,1790006400.350830,5100,-0.022,-0.937,-61.701
XDA.XsDeviceId,1790006400.366814,5101,-0.512,-0.403,-82.717
