sensor_id,t_unix,packet_counter,roll_deg,pitch_deg,yaw_deg
XDA.XsDeviceId,1790001307.333264,306,0.232,-0.890,-68.236
XDA.XsDeviceId,1790001307.349031,307,0.229,-0.881,-68.235
XDA.XsDeviceId,1790001307.365053,308,0.225,-0.878,-68.242
XDA.XsDeviceId,1790001307.381003,309,0.222,-0.871,-68.244
XDA.XsDeviceId,1790001307.397006,310,0.225,-0.869,-68.247
XDA.XsDeviceId,1790001307.413014,311,0.227,-0.868,-68.252
XDA.XsDeviceId,1790001307.444912,312,0.232,-0.867,-68.254
XDA.XsDeviceId,1790001307.461005,313,0.233,-0.865,-68.259
XDA.XsDeviceId,1790001307.476930,314,0.240,-0.864,-68.262
XDA.XsDeviceId,1790001307.492799,315,0.236,-0.869,-68.276
XDA.XsDeviceId,1790001307.508526,316,0.229,-0.872,-68.287
XDA.XsDeviceId,1790001307.524235,317,0.234,-0.868,-68.288
XDA.XsDeviceId,1790001307.540420,318,0.238,-0.869,-68.293
XDA.XsDeviceId,1790001307.556081,319,0.240,-0.858,-68.291
XDA.XsDeviceId,1790001307.571712,320,0.239,-0.853,-68.294
XDA.XsDeviceId,1790001307.587576,321,0.239,-0.854,-68.299
XDA.XsDeviceId,1790001307.603522,322,0.241,-0.856,-68.307
XDA.XsDeviceId,1790001307.619440,323,0.242,-0.850,-68.307
XDA.XsDeviceId,1790001307.635273,324,0.246,-0.850,-68.313
XDA.XsDeviceId,1790001307.651379,325,0.253,-0.843,-68.310
XDA.XsDeviceId,1790001307.667368,326,0.247,-0.827,-68.305
XDA.XsDeviceId,1790001307.683299,327,0.237,-0.823,-68.307
XDA.XsDeviceId,1790001307.699037,328,0.236,-0.817,-68.311
XDA.XsDeviceId,1790001307.714988,329,0.237,-0.812,-68.313
XDA.XsDeviceId,1790001307.731032,330,0.246,-0.812,-68.317
XDA.XsDeviceId,1790001307.746962,331,0.248,-0.806,-68.317
XDA.XsDeviceId,1790001307.778512,332,0.253,-0.805,-68.321
XDA.XsDeviceId,1790001307.794219,333,0.255,-0.801,-68.323
