sensor_id,t_unix,packet_counter,roll_deg,pitch_deg,yaw_deg
XDA.XsDeviceId,1790002252.286462,1973,-0.765,-0.591,-59.810
XDA.XsDeviceId,1790002252.300804,1974,-0.765,-0.588,-59.810
XDA.XsDeviceId,1790002252.316464,1975,-0.769,-0.590,-59.812
XDA.XsDeviceId,1790002252.332191,1976,-0.770,-0.590,-59.812
XDA.XsDeviceId,1790002252.347982,1977,-0.773,-0.591,-59.812
XDA.XsDeviceId,1790002252.364016,1978,-0.771,-0.586,-59.810
XDA.XsDeviceId,1790002252.380121,1979,-0.774,-0.583,-59.810
XDA.XsDeviceId,1790002252.396090,1980,-0.776,-0.579,-59.810
XDA.XsDeviceId,1790002252.412040,1981,-0.779,-0.578,-59.812
XDA.XsDeviceId,1790002252.418107,1982,-0.780,-0.574,-59.810
XDA.XsDeviceId,1790002252.432409,1983,-0.783,-0.572,-59.812
XDA.XsDeviceId,1790002252.447850,1984,-0.785,-0.570,-59.811
XDA.XsDeviceId,1790002252.464184,1985,-0.785,-0.568,-59.809
XDA.XsDeviceId,1790002252.465422,1986,-0.788,-0.566,-59.813
XDA.XsDeviceId,1790002252.480821,1987,-0.790,-0.564,-59.814
XDA.XsDeviceId,1790002252.482253,1988,-0.792,-0.555,-59.812
XDA.XsDeviceId,1790002252.497506,1989,-0.795,-0.550,-59.811
XDA.XsDeviceId,1790002252.498765,1990,-0.797,-0.547,-59.813
XDA.XsDeviceId,1790002252.514500,1991,-0.799,-0.538,-59.810
XDA.XsDeviceId,1790002252.531353,1992,-0.803,-0.526,-59.806
XDA.XsDeviceId,1790002252.547645,1993,-0.805,-0.517,-59.803
XDA.XsDeviceId,1790002252.550059,1994,-0.803,-0.519,-59.808
XDA.XsDeviceId,1790002252.565524,1995,-0.803,-0.518,-59.810
XDA.XsDeviceId,1790002252.581115,1996,-0.803,-0.518,-59.813
XDA.XsDeviceId,1790002252.597466,1997,-0.801,-0.512,-59.811
XDA.XsDeviceId,1790002252.599044,1998,-0.798,-0.507,-59.809
XDA.XsDeviceId,1790002252.615180,1999,-0.801,-0.501,-59.810
XDA.XsDeviceId,1790002252.630926,2000,-0.801,-0.493,-59.808
XDA.XsDeviceId,1790002252.632035,2001,-0.798,-0.487,-59.805
XDA.XsDeviceId,1790002252.647642,2002,-0.798,-0.479,-59.801
XDA.XsDeviceId,1790002252.648803,2003,-0.805,-0.472,-59.803
XDA.XsDeviceId,1790002252.664155,2004,-0.803,-0.471,-59.806
XDA.XsDeviceId,1790002252.665753,2005,-0.800,-0.469,-59.807
XDA.XsDeviceId,1790002252.681294,2006,-0.803,-0.461,-59.807
XDA.XsDeviceId,1790002252.682726,2007,-0.802,-0.457,-59.807
XDA.XsDeviceId,1790002252.714187,2008,-0.808,-0.451,-59.807
XDA.XsDeviceId,1790002252.731283,2009,-0.810,-0.444,-59.804
XDA.XsDeviceId,1790002252.747453,2010,-0.809,-0.436,-59.804
XDA.XsDeviceId,1790002252.764474,2011,-0.807,-0.434,-59.802
XDA.XsDeviceId,1790002252.781096,2012,-0.808,-0.428,-59.801
XDA.XsDeviceId,1790002252.797984,2013,-0.808,-0.419,-59.796
XDA.XsDeviceId,1790002252.813557,2014,-0.811,-0.417,-59.800
XDA.XsDeviceId,1790002252.829209,2015,-0.813,-0.409,-59.799
XDA.XsDeviceId,1790002252.848343,2016,-0.813,-0.407,-59.797
XDA.XsDeviceId,1790002252.864129,2017,-0.811,-0.403,-59.799
XDA.XsDeviceId,1790002252.881133,2018,-0.812,-0.399,-59.798
XDA.XsDeviceId,1790002252.897566,2019,-0.810,-0.392,-59.791
XDA.XsDeviceId,1790002252.914374,2020,-0.803,-0.397,-59.797
XDA.XsDeviceId,1790002252.916380,2021,-0.806,-0.395,-59.799
XDA.XsDeviceId,1790002252.947570,2022,-0.806,-0.391,-59.799
XDA.XsDeviceId,1790002252.948742,2023,-0.812,-0.387,-59.802
XDA.XsDeviceId,1790002252.981322,2024,-0.813,-0.388,-59.807
XDA.XsDeviceId,1790002252.997372,2025,-0.813,-0.388,-59.810
XDA.XsDeviceId,1790002252.998522,2026,-0.810,-0.385,-59.804
XDA.XsDeviceId,1790002253.031416,2027,-0.812,-0.380,-59.803
XDA.XsDeviceId,1790002253.047447,2028,-0.808,-0.382,-59.802
XDA.XsDeviceId,1790002253.064550,2029,-0.813,-0.376,-59.802
XDA.XsDeviceId,1790002253.080823,2030,-0.817,-0.378,-59.807
XDA.XsDeviceId,1790002253.097805,2031,-0.816,-0.382,-59.814
XDA.XsDeviceId,1790002253.114508,2032,-0.818,-0.385,-59.819
XDA.XsDeviceId,1790002253.131123,2033,-0.817,-0.380,-59.819
XDA.XsDeviceId,1790002253.147735,2034,-0.815,-0.383,-59.823
XDA.XsDeviceId,1790002253.164454,2035,-0.819,-0.377,-59.820
XDA.XsDeviceId,1790002253.181099,2036,-0.813,-0.378,-59.818
XDA.XsDeviceId,1790002253.182469,2037,-0.816,-0.377,-59.821
XDA.XsDeviceId,1790002253.198874,2038,-0.813,-0.370,-59.811
XDA.XsDeviceId,1790002253.217335,2039,-0.810,-0.376,-59.818
XDA.XsDeviceId,1790002253.248488,2040,-0.813,-0.378,-59.822
