sensor_id,t_unix,packet_counter,roll_deg,pitch_deg,yaw_deg
XDA.XsDeviceId,1790002410.588446,3747,-0.510,-0.422,-72.131
XDA.XsDeviceId,1790002410.602422,3748,-0.512,-0.418,-72.130
XDA.XsDeviceId,1790002410.618456,3749,-0.513,-0.420,-72.131
XDA.XsDeviceId,1790002410.634442,3750,-0.515,-0.421,-72.133
XDA.XsDeviceId,1790002410.650155,3751,-0.517,-0.423,-72.135
XDA.XsDeviceId,1790002410.665897,3752,-0.520,-0.429,-72.140
XDA.XsDeviceId,1790002410.681850,3753,-0.525,-0.431,-72.142
XDA.XsDeviceId,1790002410.697707,3754,-0.525,-0.432,-72.145
XDA.XsDeviceId,1790002410.713798,3755,-0.530,-0.439,-72.150
XDA.XsDeviceId,1790002410.729681,3756,-0.531,-0.440,-72.152
XDA.XsDeviceId,1790002410.745428,3757,-0.532,-0.439,-72.153
XDA.XsDeviceId,1790002410.761161,3758,-0.534,-0.439,-72.153
XDA.XsDeviceId,1790002410.763767,3759,-0.538,-0.442,-72.157
XDA.XsDeviceId,1790002410.765138,3760,-0.540,-0.444,-72.160
XDA.XsDeviceId,1790002410.780865,3761,-0.544,-0.448,-72.163
XDA.XsDeviceId,1790002410.797185,3762,-0.545,-0.449,-72.164
XDA.XsDeviceId,1790002410.813783,3763,-0.545,-0.451,-72.165
XDA.XsDeviceId,1790002410.830660,3764,-0.545,-0.449,-72.165
XDA.XsDeviceId,1790002410.831775,3765,-0.547,-0.449,-72.165
XDA.XsDeviceId,1790002410.847107,3766,-0.547,-0.450,-72.167
XDA.XsDeviceId,1790002410.864129,3767,-0.552,-0.452,-72.168
XDA.XsDeviceId,1790002410.880562,3768,-0.560,-0.447,-72.168
XDA.XsDeviceId,1790002410.881767,3769,-0.558,-0.446,-72.168
XDA.XsDeviceId,1790002410.897553,3770,-0.559,-0.450,-72.172
XDA.XsDeviceId,1790002410.914074,3771,-0.561,-0.452,-72.174
XDA.XsDeviceId,1790002410.915238,3772,-0.558,-0.450,-72.173
XDA.XsDeviceId,1790002410.930530,3773,-0.556,-0.447,-72.173
XDA.XsDeviceId,1790002410.931777,3774,-0.558,-0.447,-72.176
XDA.XsDeviceId,1790002410.954819,3775,-0.559,-0.448,-72.177
XDA.XsDeviceId,1790002410.980537,3776,-0.559,-0.441,-72.174
XDA.XsDeviceId,1790002410.997341,3777,-0.561,-0.443,-72.177
XDA.XsDeviceId,1790002410.998467,3778,-0.566,-0.442,-72.183
XDA.XsDeviceId,1790002411.030894,3779,-0.566,-0.441,-72.185
XDA.XsDeviceId,1790002411.032056,3780,-0.569,-0.442,-72.190
XDA.XsDeviceId,1790002411.049161,3781,-0.567,-0.442,-72.194
XDA.XsDeviceId,1790002411.080903,3782,-0.570,-0.441,-72.196
XDA.XsDeviceId,1790002411.097271,3783,-0.574,-0.439,-72.199
XDA.XsDeviceId,1790002411.113829,3784,-0.576,-0.434,-72.201
XDA.XsDeviceId,1790002411.115164,3785,-0.578,-0.433,-72.204
XDA.XsDeviceId,1790002411.147131,3786,-0.583,-0.432,-72.207
XDA.XsDeviceId,1790002411.164218,3787,-0.585,-0.430,-72.209
XDA.XsDeviceId,1790002411.180701,3788,-0.583,-0.426,-72.205
XDA.XsDeviceId,1790002411.197673,3789,-0.588,-0.426,-72.211
XDA.XsDeviceId,1790002411.199225,3790,-0.588,-0.421,-72.205
XDA.XsDeviceId,1790002411.230539,3791,-0.590,-0.418,-72.210
XDA.XsDeviceId,1790002411.247458,3792,-0.589,-0.415,-72.207
